ID,Type,Original text
566,Speech,"Damn, I can't get it while he's watching! I need to distract him somehow."
567,Speech,Dammit!
568,Speech,Just one more turn...I need another distraction...hmmm
569,Speech,Yes! I have it! As signified by that jaunty little tune.
570,Speech,A lens! Just what I was looking for.
571,Speech,Dammit!
572,Speech,What? Another turn?...I need another distraction...hmmm...
573,Speech,This is where the landlord keeps all his cleaning stuff.
574,Speech,I have never seen it open.
575,Speech,That worked! I wonder what's inside...
576,Speech,it's just full of broken cleaning equipment and junk.
577,Speech,"Oh there's a screwdriver, the only thing that isn't broken. I'll take it just in case."
578,Speech,Lets see if I can get past this padlock...
579,Speech,I'll need to find away to get the code...
580,Speech,It’s a combination padlock. Pretty sturdy.
581,Speech,I’m not good with code cracking… before you ask.
582,Speech,That's the Landlords apartment. 
583,Speech,"Legend has it that he once had guests inside, actually inside, the building!"
584,Speech,I'm not sure I believe that though.
585,Speech,Unless they are now buried under his floorboards...
586,Speech,Why bother checking? I never get any mail. 
587,Speech,I don't have my keys anyway. 
588,Hotspot, 
589,Hotspot, 
590,Hotspot,Cop
591,Character,Landlord
592,Hotspot, 
593,Character,Bio Animation
594,DialogueOption,Here’s looking at you rent increase?
595,DialogueOption,Say hello to my little invoice?
596,DialogueOption,You’re gonna need a bigger toolbox?
597,DialogueOption,Rent Resistance is Futile.
598,DialogueOption,It's R.Sole
599,DialogueOption,Your conscience
600,DialogueOption,It's the repair guy about your mailbox
601,Character, 
602,DialogueOption,Money? Erm... What money?
603,DialogueOption,Let's see if I can find a distraction
604,DialogueOption,Better see what else I can use against him
605,DialogueOption,Strange angry man?
606,DialogueOption,"Well, i've got to go now..."
607,Hotspot,My Apartment
608,Hotspot, 
609,Hotspot, 
610,Hotspot, 
611,Hotspot, 
612,Hotspot, 
613,Hotspot, 
614,Hotspot, 
615,Hotspot, 
616,Hotspot, 
617,Hotspot, 
618,Hotspot, 
619,Hotspot, 
620,Speech,That's the aerial to Sammy's apartment.
621,Speech,An almost limitless number of TV channels... and Sammy only watches soap operas...
622,Speech,What a waste.
623,Speech,"It’s Marion, she’s always out here knitting something or other when the weather is good. She’s nice but she can be a bit…batty…"
624,Speech,Yup...Still a bench
625,Speech,Looks like those thieving swines are open.
626,Speech,"The copper pot, my second favourite place on earth, after my bed."
627,Speech,Let's see what they are trying over-inflate the price of today...
628,Speech,As I thought...Everything!
629,Speech,"Good morning Lady, just a stranger having a nice walk past the bar. Nothing to see here."
630,Speech,If you say so R Sole.
631,Speech,What? How did you..?
632,Speech,You’ve put on a hat and scarf and for some reason you have a filthy mop on your head. Hardly the most imaginative disguise.
633,Speech,"Don’t worry though, I’m sure it will fool minor NPC’s."
634,Speech,Yeah…thanks.
635,Speech,"Hey Marion, you wouldn’t happen to have seen a phone around here?"
636,Speech,"Dear me, you’ve lost your phone? Oh dear. Well where did you have it last?"
637,Speech,Well If I knew that…
638,Speech,Well think man! Retrace your steps at the very least.
639,Speech,"Oh hey Marion, are you having a good morning?"
640,Speech,Oh good morning my dear.
641,Speech,Indeed I am enjoying the sunshine and finishing these socks for my Grand Niece.
642,Speech,"Wow, you're using a lot of wool, does she have big feet?"
643,Speech,Enormous. Last year when the river flooded three people used one of her shoes as a canoe…
644,Speech,"Well, as long as you're enjoying your morning I'll..."
645,Speech,"Oh yes, lovely. Listen young man, we all know that in Adventure Games to access your Inventory you simply press the 'I' button on your keyboard, yes?"
646,Speech,Erm… Well… That’s good to know…
647,Speech,"Yes, and if you want to try and combine items you open your inventory, select the item and drop your selection onto another item! "
648,Speech,Fascinating isn’t it?
649,Speech,Yeah. Not a weird conversation at all.
650,Speech,"Hey Marion, I need to find…"
651,Speech,I’m going to stop you right there dear.
652,Speech,Huh? Okaaaay…
653,Speech,Have you gone everywhere you can and clicked on everything that you can?
654,Speech,I… erm… I don’t….
655,Speech,Exactly. Off you pop dear.
656,Speech,I’d better get going.
657,Speech,"Yes, well these quests aren’t going to complete themselves are they?"
658,Speech,How am I supposed to create a sense of immersion like this? 
659,Speech,"Hello dear, what can I do for you?"
660,Speech,Oh right. Good one.
661,Speech,"No seriously, she was recently classified as a Yeti by National Geographic."
662,Speech,Her mother was very proud.
663,Speech,"Right... well, okay then..."
664,Speech,I'm sorry dear but you'll have to speak to the writers. I'm sure you'll manage though.
665,Speech,What a fruit loop.
666,Speech,"Still, you can't help but like her!"
667,Speech,Nevermind.
668,Speech,Hang on...Was that?
669,Speech,Ah main street...
670,Speech,"The downtown city centre has a lot of bustling shopping malls, boutiques, bars and restaurants but I very rarely stray further than this little nook of happiness."
671,Speech,"The Copper Pot is my second home, and if I’m honest, nicer than my actual home."
672,Speech,I don’t really have much to do with the Trade in place and that coffee shop is new. I may check them both out at some point. 
673,Speech,Or I may not.
674,Speech,That's the manager of the new coffee shop.
675,Speech,I'm not short but he's got some height.
676,Speech,Even before you take the quiff into account.
677,Speech,"Great, another cafe where the cost of a drink and a flapjack require a mortgage application."
678,Speech,"Hey, Christian isn’t it?"
679,Speech,What? Oh is that you under there R.Sole?
680,Speech,Come to gloat have you?
681,Speech,"What, no I…"
682,Speech,I’ve been stood out here all day and I’ve only sold two coffees and three sandwiches.
683,Speech,All to that woman there on the bench.
684,Speech,She didn’t even go into the café and see my wonderful tribal artwork from…
685,Speech,Oh who cares?
686,Speech,Oooookaaaaay. 
687,Speech,"Well, look, I’m sorry your day isn’t going great. "
688,Speech,I’ve even had to get a handful of my ‘Free coffee and Subs’ flyers to try and drum up business.
689,Speech,Free you say? 
690,Speech,Yes. They’re a last resort my boyfriend thought of to ‘get the word out there’
691,Speech,"Well, I think your boyfriend has got the right idea! Tell you what, I feel bad for being harsh on you earlier, how about I take a flyer, I think I might know a guy who could do with trying out your wonderful menu."
692,Speech,"Really? Oh, that’s wonderful!"
693,Speech,"If you’re friend comes and gets a coffee and food from me I promise you that you will never pay for a coffee in my shop, ever!"
694,Speech,"Yeah, sounds about right. "
695,Speech,Here you go!
696,Speech,Why hello there!
697,Speech,"Oh, hey. I suppose."
698,Speech,I’m very well thank you!
699,Speech,What? I didn’t…
700,Speech,Welcome to Caffiends on this very special morning!
701,Speech,What’s your name my new friend?
702,Speech,What? Erm… it’s R Sole.
703,Speech,Oh I am so sorry.
704,Speech,"Seriously, what?"
705,Speech,"That’s right, you’re just a few steps away from entering the newest, hippest and best coffee shop in all of town!"
706,Speech,Our menu?
707,Speech,Actually I didn’t say a word…
708,Speech,We stock only the finest Arrocaboreo beans for our coffee.
709,Speech,Arro…cabo… what-now?
710,Speech,These beans grow only in the humid wetlands of the Caffeylotto Forests in North-Southerly Venezumbia.
711,Speech,Come again?
712,Speech,"Each bean blossoms over the course of a semi-seasonal, bi-weekly year before growing to its fullest potential."
713,Speech,Those aren’t real words…
714,Speech,"Once fully grown, these resplendent beans are then eaten by the wild boars of the region and it is as they pass though the digestive tract of the porcine heroes that the bean achieves its fullest flavour."
715,Speech,Dear Jesus…
716,Speech,"Once the boars have spread their scat, the piles are then searched through by native children, of no more than seven years of age, and the newly flavoured beans are harvested."
717,Speech,I have literally no idea what is going to come out of your mouth next…
718,Speech,"After enough beans are gathered the natives then package, brand and air drop deliver the beans straight here for grinding. Then the real magic happens!"
719,Speech,I will pay you to stop talking.
720,Speech,They become our coffee! Isn’t that wonderful?
721,Speech,"Yeah, wonderful. My life is so much better now I have those images seared into my brain."
722,Speech,I know right? Anyhoo. Are you going to try one?
723,Speech,Am I going to try your wild boar poop coffee? Let me think for a second.
724,Speech,I have vouchers for 20% off…
725,Speech,Tempting though that is I have reluctantly decided to trim my beard with an angle grinder instead.
726,Speech,Oh but…
727,Speech,I’m out of here.
728,Speech,Oh hey! Have you changed your mind about one of my coffees?
729,Speech,"Oh, my mistake. My mouse slipped."
730,Speech,Oh. It’s you.
731,Speech,Your mood has changed a bit.
732,Speech,"Well, it’s been a quiet morning. Strangely nobody seems to be excited to try our uniquely sourced coffees."
733,Speech,"What, really? I mean, who wouldn’t want a boar-shit latte?"
734,Speech,"Oh, would you like…"
735,Speech,God no.
736,Speech,No. No siree. Negatory.
737,Speech,No.
738,Speech,Oh. Things aren’t going as well as I would have liked. 
739,Speech,"Still, at least I have the food menu to fall back on!"
740,Speech,"Listen, if you’re going to start telling me that all your ingredients are reliably sourced from tribes of wandering nine feet tall Amazonian women I may just punch you in the face."
741,Speech,What? Oh no. They’re from the farmers market in town.
742,Speech,"Oh. Well, maybe I jumped the gun."
743,Speech,"Yes, well. The farm in question gets their stock from a village just outside of Nairobi…"
744,Speech,I hate you.
745,Speech,Hey friend! Do you want a free coffee yet?
746,Speech,"Ah, not at the moment. My body isn’t currently infested with wild boar germs and I’d kind of like to keep it that way."
747,Speech,"Ok, well let me know when you change your mind!"
748,Speech,"Come on man, one voucher is enough!"
749,Speech,"Hey, there's an aerial up there."
750,Speech,"No way I can reach that though, beside how would Sammy watch his soaps?"
751,Hotspot,Quattro
752,Hotspot, 
753,Hotspot, 
754,Hotspot,MovingCar
755,Hotspot,MovingCar
756,DialogueOption,Have you seen my phone?
757,Character,MovingCar
758,Hotspot, 
759,Character,MovingCar
760,Character,Christian
761,Character,Bio Animation
762,Hotspot, 
763,Character,MovingCar
764,Character,Bio Animation
765,Character,Miriam
766,Hotspot,Marion Mansky
767,Hotspot, 
768,Hotspot, 
769,Hotspot, 
770,Hotspot, 
771,Hotspot, 
772,Hotspot, 
773,Hotspot, 
774,DialogueOption,"So, how are you doing today?"
775,DialogueOption,I need some advice…
776,DialogueOption,Bye.
777,Hotspot, 
778,Speech,It's a pair of security lights that are on a timer.
779,Speech,Without these this alley would be in total darkness at night.
780,Speech,I still can't believe I followed Harper out here last night.
781,Speech,What was I thinking?
782,Speech,"Or more specifically, what was I think with?"
783,Speech,Several metal bins and black refuse sacks containing all sorts of garbage.
784,Speech,Pretty standard for behind the back of a bar.
785,Speech,"A big box blue, I mean blue box! How silly of me!"
786,Speech,"Hey, what's this underneath?"
787,Speech,What?! Seriously? That actually happened? 
788,Speech,But what am I meant to do with it? It's completely trashed!
789,Speech,"Hang on, what's this?"
790,Speech,"Oh okay, let's see what I need to fix this wreck..."
791,Speech,Focusing lens...93% damage.
792,Speech,"Supranet Aerial antenna, whatever the hell one of those is... 98% damage. This isn't looking good..."
793,Speech,"10 Fuggerhertz Battery - Emergency power only, 3% remaining! Woah..."
794,Speech,Hmmm...
795,Speech,"Right. Ok, I can fix...this. Can't I? "
796,Speech,Am I really doing this?
797,Speech,Screw it! Yes I am!
798,Speech,"Hey, what's this flashing light?"
799,Speech,Holy crap-snacks!
800,Speech,"...hear me. Harper, are you there?"
801,Speech,"Hey, is this a live connection?"
802,Speech,Oh it's you! What the hell is going on there?
803,Speech,Where is Harper? Is she safe?
804,Speech,Ahhhhh... well you see... funny story...
805,Speech,Well? Spit it out man!
806,Speech,"Right, well..."
807,Speech,The floating tin butler went all screwy and it sucked Harper through a wibbly-wobbly-wormy-holey... thing...
808,Speech,What? Are you saying the Wang unit malfunctioned and jettisoned her through an emergency wormhole?
809,Speech,"Well, yeah... kinda..."
810,Speech,I suppose?
811,Speech,Well why didn’t you just say that man?
812,Speech,I would have... if I knew what it meant.
813,Speech,This is most unfortunate… in fact disasterous!
814,Speech,I’m sure I don’t need to tell you how important it is that we locate her immediately?
815,Speech,"Well, beyond the fact that she was supposed to be getting me out of here…"
816,Speech,A clue might be helpful?
817,Speech,"What? You’re joking, right?"
818,Speech,Lots of the time… but not this time.
819,Speech,"Well, she has the trace co-ordinates of your universe obviously…"
820,Speech,But she also has the co-ordinates of the secure location we have in this universe...
821,Speech,Which I assume you’ve already worked out means that if captured Masterstroke could track us to here! That would be catastrophic!
822,Speech,"Yeah, catastrophic."
823,Speech,"Again, a clue would...?"
824,Speech,"What is going on here, you are an R.Sole right?"
825,Speech,"Oh yes, very much so. The real deal!"
826,Speech,Then how come you’re acting like you’re just some idiot shmuck who doesn’t understand the gravity of what’s going on?
827,Speech,...
828,Speech,"No, you’ve lost me…"
829,Speech,Could it be???
830,Speech,Tell me what have you invented in your universe? I know that multiversal travel has yet to become widespread...
831,Speech,But you must have had an impact on your civilisation?
832,Speech,"… some impact, yeah… but… maybe not … lots?"
833,Speech,Oh my God. It’s true…
834,Speech,You are...
835,Speech,An idiot!
836,Speech,"Hey! Calm down mister high and mighty, we may not all be big bad science guys like you but there’s no need for that!"
837,Speech,"No, sorry, you just don’t get it."
838,Speech,You’re an idiot… but the rest of us aren’t.
839,Speech,We’re geniuses.
840,Speech,"Oh right, whatever… do you want me to turn this thing off?"
841,Speech,"No, listen! My name is Reed Sole and I won the Nobel Prize for Physics when I was 21… and I was a late bloomer!"
842,Speech,"Another R.Sole, Rolf, created an enzyme that systematically eradicated pollution in sea water on his Earth. He was 17 when that happened."
843,Speech,You’re… not making me feel good about myself you know…
844,Speech,All of the R.Soles I’ve met have made enormous scientific contributions to their realities… 
845,Speech,"brought about peace, prosperity and enlightenment… but you?"
846,Speech,You’re just an absolute imbecile…
847,Speech,You can go off someone you know…
848,Speech,Each time an R.Sole is destroyed our data suggests that the multiverse is buckling under some sort of strange energy. 
849,Speech,"It’s as if the layers of the multiverse are scraping together, the friction of which is causing massive destruction."
850,Speech,Whole universes have been lost…
851,Speech,No pressure then…
852,Speech,You have to…
853,Speech,What’s going on?
854,Speech,Oh no… we’ve been compromised!
855,Speech,Oh crap!
856,Speech,"Quickly, I don’t have much time…"
857,Speech,Repair Wang.
858,Speech,Find Harper.
859,Speech,Save the…
860,Speech,"Why is it whenever someone gets to the point, it ends abruptly! "
861,Speech,I need a beer…
862,Speech,"So, I’m the only R.Sole that isn’t a huge brainbox?"
863,Speech,It would seem that way. 
864,Speech,"In my journey through the multiverse I have met many of our counterparts and I must say, they have all been brilliant."
865,Speech,You are the first I have met that appears to have such… limited brain power.
866,Speech,"But if we’re all the same person, why is my life so much crappier than everyone else?"
867,Speech,Choices. At some point you must have made the wrong choices that have lead you away from your potential. What did you study at college? What roles have you taken in the community and local affairs?
868,Speech,College? Local affairs? Erm…
869,Speech,I have an IT certificate and as for the local community…
870,Speech,I’m banned from several stores in the mall but other than that…
871,Speech,Well that’s it isn’t it?
872,Speech,What?
873,Speech,"You’re a lazy, feckless time waster."
874,Speech,"Hey, watch it pal!!!"
875,Speech,No wonder you’ve achieved nothing.
876,Speech,Why are we being hunted?
877,Speech,That’s a good question but I don’t have a complete answer.
878,Speech,My universe has a monitoring station in orbit of the planet and I use it to maintain contact with the various R.Soles around the multiverse. 
879,Speech,That’s how I’m managing to communicate with you now.
880,Speech,"Some weeks ago I began receiving reports of calamities in the other universes. In some cases, total destruction."
881,Speech,Each time the attacks were centred around the location of that realities R.Sole. 
882,Speech,I began to reach out to them but all of the reports that came back were that the attacks finished as soon as the R.Sole was destroyed.
883,Speech,Destroyed… so he’s killing us?
884,Speech,It seems that way. 
885,Speech,I was in contact with Ricardo Sole of Earth 974B when his world was attacked.
886,Speech,"Before the communication broke off I heard the attack drone saying, ‘Masterstroke orders your destruction’ and then we lost contact. That was the first we'd heard of him."
887,Speech,Masterstroke? But who is he?
888,Speech,We don’t know. 
889,Speech,All of our investigations have drawn a blank.
890,Speech,We don’t even know what reality he is from.
891,Speech,So much for genius…
892,Speech,We began collecting as many of ourselves as we could.
893,Speech,Currently we have managed to secure 11 R.Soles here in my universe. 
894,Speech,At a safe location of course and that’s why it is imperative that Masterstroke does not capture Harper and discover our location!
895,Speech,"Oh, I get you now. Yeah, fair enough."
896,Speech,Harper is our best field agent but if she is captured…
897,Speech,I fear that Masterstroke may tear the truth from her.
898,Speech,How the hell am I supposed to fix this bucket of bolts?
899,Speech,You really don’t know anything do you?
900,Speech,"Listen, you’re not winning me over with your charms you know?"
901,Speech,"Alright, alright!"
902,Speech,Wang units have been designed to be omni-technologically adaptable.
903,Speech,Right. ‘Omni-nomni-bomni’ was all I got from that…
904,Speech,For the love of…
905,Speech,It means they can automatically adapt the technology of their current universe for self actuated repairs.
906,Speech,‘Adapti-macti-pacti’…
907,Speech,Jesus! Just find some spare parts to replace the damaged sections and the droid will do the rest!
908,Speech,See? It’s easy when you talk properly.
909,Speech,God help us…
910,Speech,"So, just for us under-achievers at the back, what’s the plan after I fix it?"
911,Speech,"Well, much as I would rather not involve you in this…"
912,Speech,Are you thinking of my safety?
913,Speech,No. You’re a bumbling idiot who is more than likely going to lead to our total destruction…
914,Speech,"Well, I suppose there is that…"
915,Speech,But I have no choice.
916,Speech,You are going to have to track down Harper and make sure she doesn’t fall into Masterstrokes hands.
917,Speech,She has too much information about our secure location and our plans beyond that.
918,Speech,So you need to rescue her. If you can.
919,Speech,And if you can’t…
920,Speech,What? Pop a cap in her ass?
921,Speech,I’m not saying that… but the fate of the multiverse may hang in the balance…
922,Speech,Wow. You’ve got a real mercenary streak there haven’t you Reed?
923,Speech,God forgive me but the needs of the many…
924,Speech,Oh spare me the Star Trek crap!
925,Speech,You’re scared and you don’t know what to do.
926,Speech,...
927,Speech,Maybe you’re right.
928,Speech,"So, you’re going to have to find her then aren’t you?"
929,Speech,"Yeah, leave it to the idiot why don’t you?..."
930,Speech,It was all real...
931,Speech,"It's a stack of battered, wet and dirty cardboard boxes."
932,Speech,The kind that normally get smashed out of the way by cars in movie chase scenes.
933,Speech,We're not going to do that though.
934,Speech,That's far too difficult and expensive to animate.
935,Speech,"I could take down, open and search every individual cardboard box..."
936,Speech,In theory at least.
937,Speech,But I'm not going to.
938,Speech,What a great looking scarf.
939,Speech,I have the sudden urge for a jelly baby.
940,Speech,"Anyway, could be useful."
941,Speech,Where did I leave my phone?
942,Speech,"Right, i have my phone, now let's see what i can get this thing working again."
943,Speech,"On second thoughts, let's not do this down an alley where anyone could just walk in."
944,Speech,Now how am i going move this thing?
945,Speech,It's the dumpster for the Copper Pot.
946,Speech,"Full of broken bottles, old food, glass and all sorts of bits and bobs."
947,Speech,"Also, it really stinks."
948,Speech,Only one piece of graffiti in the whole alley?
949,Speech,Or is it that the game artist just couldn't be bothered to add more...
950,Speech,Are the graffiti artists around here on a go-slow?
951,Speech,"To confirm reset, please synch with Earth 616A mobile device."
952,Speech,"Well that's easy enough, I'll just get out my..."
953,Speech,BALLS!
954,Speech,Now where did I leave my damn phone?
955,Speech,"Right, I have the items I need, now what?"
956,Speech,What's this? I didn't see this before.
957,Speech,I wonder why this didn't play before?
958,Speech,...Get my...
959,Speech,Sammy asked me to take out the trash a couple of weeks ago.
960,Speech,And like the helpful guy I am I said 'Sure thing Sammy'.
961,Speech,When I opened the lid I nearly soiled myself when I found Cliff asleep inside!
962,Speech,Judging from the smell I think Cliff had already soiled himself before I got there.
963,Speech,"So 'No', I shall not be opening the dumpster."
964,Speech,Spjork...Iceland is a very strange place.
965,Speech,"Oh, this dirty mop head. Maybe i can do something with this."
966,Speech,Why is there always a dirty old mop in alley scenes? 
967,Speech,A big blue box...well...allons-y
968,Speech,What's this?
969,Speech,How to Talk to Girls and get Results in Three Easy Steps...
970,Speech,I'm going to assume step three is a kick in the nuts. Always has been in my experience...
971,Speech,"Either way, I think I'll pass."
972,Hotspot, 
973,Hotspot,Alternative R Sole
974,Character,Bio Animation
975,Character,Alternative R Sole
976,DialogueOption,So I’m the only R.Sole that isn’t a huge brainbox?
977,DialogueOption,Why are we being hunted? 
978,DialogueOption,How the hell am I supposed to fix this bucket of bolts?
979,DialogueOption,"So, what’s the plan after I fix it?"
980,Hotspot, 
981,Hotspot, 
982,Hotspot, 
983,Hotspot, 
984,Hotspot, 
985,Hotspot, 
986,Hotspot, 
987,Hotspot, 
988,Hotspot, 
989,Hotspot, 
990,Speech,It’s a red public telephone box. I have no idea Who would use one of those these days.
991,Speech,The Q Console 2.0. All the power and processing speed of the first Q Console but with an extra 2 green LED’s. 
992,Speech,And an extra 350% on the price…
993,Speech,Woah dude! No way. It's a super rare Prime-Lock!
994,Speech,"Yeah, so is that worth a battery?"
995,Speech,No way dude.
996,Speech,What do you have my dude?
997,Speech,Better luck next time!
998,Speech,"The electro-computer revolution at its most capitalistic. So much choice, so much power, so much…"
999,Speech,... price gouging.
1000,Speech,Never really seen the appeal of this drone craze. Most people tend to use them to spy through people’s windows in the hope of catching something naughty. What a waste of time!
1001,Speech,Naughty things are what the internet is for.
1002,Speech,Adapto-Droids are one of my favourite franchises. 
1003,Speech,"Prime-Lock is obviously the best, but Acid-Jazz, his trippy streetwise sidekick, comes pretty close."
1004,Speech,"I love his catchphrase, ‘Heeey maaaan’. So original. "
1005,Speech,"Well, If he isn't going to look after it..."
1006,Speech,"Well, If he isn't going to look after it..."
1007,Speech,"Well, If he isn't going to look after it..."
1008,Speech,"Look 'Dude', I really need that battery!"
1009,Speech,Not unless you make it worth my while.
1010,Speech,Urgh...fine!
1011,Speech,"Hey there, are you serving?"
1012,Speech,"Ahhh hey man, I'm just chilling."
1013,Speech,Seems... quiet in here? Is business usually this slow?
1014,Speech,"Yeah man, sometimes, but it can get real hectic as well."
1015,Speech,"Hey my dude! Sorry but we are closed at the moment, someone stole one our batteries and my new collectable! Such a bummer!"
1016,Speech,Ah such a shame for you. 
1017,Speech,And you seem such a 'cool dude' too.
1018,Speech,"Hey dude, how can I help?"
1019,Speech,I see you have a few 10 Fuggerhertz batteries on display. How much are they?
1020,Speech,"Oh sorry my dude, those are all reserved for staff."
1021,Speech,Reserved? But they are in the cabinet?
1022,Speech,Yeah...We couldn’t be bothered to move them. Seems like a waste of time when we're just going to buy them anyway.
1023,Speech,"So, let me get this straight... they are on display but I can’t have one?"
1024,Speech,Yeah. I mean No. I mean... Yes you can’t.
1025,Speech,"Right... I mean, that's not infuriating at all..."
1026,Speech,"Yeah, well I suppose I'll leave you to your 'frantic' work..."
1027,Speech,Later Dude!
1028,Speech,'Chillaxing'... do people even use that word?
1029,Speech,Of course dude! It's what all the coolest guys are saying.
1030,Speech,In 1976 maybe...
1031,Speech,I get the sense that you do that a lot.
1032,Speech,Chill.
1033,Speech,Oh it gets real busy in here! Got to grab those quiet hours where you can.
1034,Speech,Quiet hours? Oh my heart simply bleeds for you...
1035,Speech,And you don't see a problem with that?
1036,Speech,What am I saying? Of course you don't...
1037,Speech,Just another idiot to add to the grudge bank... this list is getting real big...
1038,Speech,So for now I'm just chillaxing until the end of my shift.
1039,Speech,We wouldn't want you to fall behind on all of that important skiving...
1040,Speech,"Hey, it’s another one of the Adapto-Droids. "
1041,Speech,This one was recalled from sale for some reason… what was his name? 
1042,Speech,"Oh yeah, he was called Car-Jack."
1043,Speech,"A brother and sister duo of Mexican electricians with no powers whatsoever, battle weird fungi, falling blocks and a giant hamster that constantly kidnaps whoever the siblings happen to be in a relationship with."
1044,Speech,Absolute recipe for success. I think they should release it on at least 47 consoles over 50 years…
1045,Speech,"Well, If he isn't going to look after it..."
1046,Speech,feck It! was one of the last games in the electronic light sequence trend. It even made the news when people realised it could trigger photosensitive seizures.
1047,Speech,"Ah, good times…"
1048,Speech,"Ah I used to love this show! The way the main character was brilliant, sarcastic, edgy and yet prone to failure. I kind of modelled myself on him. "
1049,Speech,Only managed to achieve the last bit though…
1050,Speech,Woah dude! No way. It's a super rare Insultor-Omni Glove!
1051,Speech,"Yeah, so is that worth a battery?"
1052,Speech,No way dude.
1053,Speech,Better luck next time!
1054,Speech,What do you have my dude?
1055,Speech,I think this is where they test the products.
1056,Speech,Naturally it will be out of order.
1057,Speech,Who doesn’t want to watch the same story involving horror hunting brothers played out over 300 seasons… 
1058,Speech,Me...
1059,Speech,"Well, If he isn't going to look after it..."
1060,Speech,All the screen sizes in all the world and I had to be playing on this!
1061,Speech,"The Binary-Screen Handheld Console, or BS Console for short, revolutionised handheld gaming."
1062,Speech,It also gave Japanese executives more opportunities to sell the same games again and again on another console. Why create new games when you can just release the same ones only slightly shittier?
1063,Speech,Woah dude! No way. It's a super rare Demon Fur Baby!
1064,Speech,"Yeah, so is that worth a battery?"
1065,Speech,No way dude.
1066,Speech,What do you have my dude?
1067,Speech,Better luck next time!
1068,Speech,"Hey, it’s an Andy-Droid! I used to love those when I was a kid. There was a whole range of exactly the same toy in slightly different colours. "
1069,Speech,Genius.
1070,Speech,"Hey, it’s similar to the one I have! Only mine is more collectible."
1071,Speech,Suck it losers!
1072,Speech,Another innovation in handheld gaming! Not only can you play games you can also watch movies on this future proof console.
1073,Speech,Not supported since 2016…
1074,Speech,"There it is, very odd, i have never lost my phone before? Hmmm...."
1075,Speech,Woah dude! No way. It's a super rare Spoon Blade!
1076,Speech,"Yeah, so is that worth a battery?"
1077,Speech,No way dude.
1078,Speech,What do you have my dude?
1079,Speech,Better luck next time!
1080,Speech,Woah dude! No way. It's a super rare Knitting Almanac!
1081,Speech,"Yeah, so is that worth a battery?"
1082,Speech,No way dude.
1083,Speech,What do you have my dude?
1084,Speech,Better luck next time!
1085,Speech,"In a Universe just over to the left, a week last Thursday… "
1086,Speech,I love those movies.
1087,Speech,"Our heroes wave glowing sticks against stuntmen dressed all in green, stood in front of green-screen backgrounds, jumping unrealistic distances and using space magic!"
1088,Speech,Ah the Book of The Dead. 101 rituals and sacrifices to open demonic gateways between here and the Nether-Realm of Horror. 
1089,Speech,Children’s edition.
1090,Speech,"With the strength of Hercules and the Lighting of Zeus, Thunder-Puncher is one of the toughest supes of all! "
1091,Speech,Foam gauntlets that make a fizzing sound when you whack something don’t exactly do his power justice though.
1092,Speech,Batteries! Those could be useful.
1093,Speech,The ever violent Sanus returns to shoot things and blow stuff up in her quest to destroy the evil forces of… 
1094,Speech,"Oh, actually I lost the will to live there for a second, went a little light headed with the boredom. Yeah. It’s a shooty game."
1095,Speech,The classic first person online co-operative game updated for modern audiences. 
1096,Speech,Nobody ‘calls’ anyone these days…
1097,Speech,"You bought it in 2001, you also bought it last year and every year in between!"
1098,Speech,"You don’t want to miss out, do you?"
1099,Speech,So basically you’re buying it this year as well.
1100,Hotspot, 
1101,Hotspot, 
1102,Hotspot, 
1103,Character,Cop
1104,Character,Bio Animation
1105,Hotspot, 
1106,Character,Wozee
1107,Hotspot, 
1108,Hotspot, 
1109,Hotspot, 
1110,Hotspot, 
1111,Hotspot, 
1112,Hotspot, 
1113,Hotspot, 
1114,Hotspot, 
1115,Hotspot, 
1116,Hotspot, 
1117,Hotspot, 
1118,Hotspot, 
1119,Hotspot, 
1120,DialogueOption,How are you doing?
1121,DialogueOption,What's on your mind?
1122,DialogueOption,Can I get a battery?
1123,DialogueOption,I really need that battery!
1124,DialogueOption,Bye
1125,Hotspot, 
1126,Hotspot, 
1127,Hotspot, 
1128,Hotspot, 
1129,Hotspot, 
1130,Hotspot, 
1131,Hotspot, 
1132,Hotspot, 
1133,Hotspot, 
1134,Hotspot, 
1135,Hotspot, 
1136,Hotspot, 
1137,Hotspot, 
1138,Hotspot, 
1139,Hotspot, 
1140,Hotspot, 
1141,Hotspot, 
1142,Speech,"Right, this should FINALLY do it."
1143,Speech,The office printer also has a scanner built in.
1144,Speech,"Unfortunatley, I'm banned from using it after one, regrettable incident..."
1145,Speech,And that there is my desk.
1146,Speech,Or you could call it my prison.
1147,Speech,But obviously without all the sex...
1148,Speech,Sweet Dreams Manny.
1149,Speech,What can I do for you Mr Sole?
1150,Speech,"So Manny, are you really still not going to tell me about your ultra-secret other job?"
1151,Speech,No can do Mr Sole. With great responsibility…
1152,Speech,Manny! We don’t have the budget for this! Forget I asked.
1153,Speech,So the aerial on your walki-talkie is huge! Is it powerful?
1154,Speech,Oh it’s a super powerful gizmo!
1155,Speech,"I can hear a pin drop in the other office block with this thing, it’s like super sonar hearing!"
1156,Speech,"Manny, think of the lawyers!"
1157,Speech,"Hey Manny, my bestest buddy... any chance I could borrow your walkie-talkie? Just for a little while?"
1158,Speech,"Sorry Mr Sole, I need it to keep everyone and everything safe."
1159,Speech,So...Even though I know I can't borrow your walkie-talkie... 
